id,ingredient
0,Southern Comfort
1,Amaretto
2,Sloe gin
3,Lemon juice
4,Orange juice
5,Grenadine
6,Jack Daniels
7,Midori melon liqueur
8,Sour mix
9,Bailey's irish cream
10,Grand Marnier
11,Kahlua
12,Light rum
13,Triple sec
14,Banana
15,Lime juice
16,Sugar
17,Cherry
18,Ale
19,Guinness stout
20,Vodka
21,Tomato juice
22,Worcestershire sauce
23,Tabasco sauce
24,Lime
25,Brandy
26,Creme de Cacao
27,Light cream
28,Nutmeg
29,Coca-Cola
30,Powdered sugar
31,Dry Vermouth
32,Olive Brine
33,Lemon
34,Olive
35,Gin
36,Champagne
37,Orange
38,Maraschino cherry
39,Tonic water
40,Green Creme de Menthe
41,Galliano
42,Absolut Vodka
43,Cointreau
44,Orgeat syrup
45,Sweet and sour
46,Sweet Vermouth
47,Bourbon
48,Angostura bitters
49,Ice
50,Orange peel
51,Tequila
52,Salt
53,Mint
54,Soda water
55,Ginger ale
56,Coconut milk
57,Pineapple
58,Pisco
59,Cognac
60,Club soda
